GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
url-shortener-system,com.xyz.urlshortenersystem.entity,UserAccount,271,79,62,0,0,11,37,16,6,16
url-shortener-system,com.xyz.urlshortenersystem.entity,UserRole.UserRoleBuilder,11,16,0,0,0,1,2,3,2,3
url-shortener-system,com.xyz.urlshortenersystem.entity,UserUrl.UserUrlBuilder,19,44,0,0,0,1,2,7,2,7
url-shortener-system,com.xyz.urlshortenersystem.entity,UserRole,64,47,15,1,0,6,13,6,5,6
url-shortener-system,com.xyz.urlshortenersystem.entity,UserAccount.UserAccountBuilder,26,56,0,2,0,1,3,8,3,7
url-shortener-system,com.xyz.urlshortenersystem.entity,UserUrl,250,50,54,0,0,10,36,10,9,10
url-shortener-system,com.xyz.urlshortenersystem.entity,UserUrlStats.UserUrlStatsBuilder,22,32,0,0,0,1,3,5,3,5
url-shortener-system,com.xyz.urlshortenersystem.entity,UserUrlStats,223,34,46,0,3,6,34,6,11,6
url-shortener-system,com.xyz.urlshortenersystem.security,UserPrincipal,143,33,30,0,1,8,22,9,7,9
url-shortener-system,com.xyz.urlshortenersystem.security,UserPrincipal.UserPrincipalBuilder,8,28,0,0,0,1,1,5,1,5
url-shortener-system,com.xyz.urlshortenersystem.security,JwtProvider,7,64,0,0,3,10,0,6,0,6
url-shortener-system,com.xyz.urlshortenersystem.security,JwtAuthenticationFilter,6,68,2,6,2,16,2,5,0,3
url-shortener-system,com.xyz.urlshortenersystem.security,UserDetailsServiceImpl,5,14,0,0,0,4,1,2,1,2
url-shortener-system,com.xyz.urlshortenersystem.security,UserMapper,3,27,0,0,1,4,1,2,1,2
url-shortener-system,com.xyz.urlshortenersystem,UrlShortenerSystemApplication,5,3,0,0,2,1,1,1,1,1
url-shortener-system,com.xyz.urlshortenersystem,Initializer,0,12,0,0,0,4,0,2,0,2
url-shortener-system,com.xyz.urlshortenersystem.model,UserToken.UserTokenBuilder,11,16,0,0,0,1,2,3,2,3
url-shortener-system,com.xyz.urlshortenersystem.model,ApiError,143,25,30,0,1,4,22,5,7,5
url-shortener-system,com.xyz.urlshortenersystem.model,RedirectEvent,143,22,30,0,2,8,22,4,7,4
url-shortener-system,com.xyz.urlshortenersystem.model,ApiError.ApiErrorBuilder,8,28,0,0,0,1,1,5,1,5
url-shortener-system,com.xyz.urlshortenersystem.model,UserToken,106,19,22,0,1,3,17,4,6,4
url-shortener-system,com.xyz.urlshortenersystem.event,DemoDataListener,4,174,1,1,0,29,2,12,1,12
url-shortener-system,com.xyz.urlshortenersystem.event,RedirectEventPublisher,0,30,0,0,0,6,0,2,0,2
url-shortener-system,com.xyz.urlshortenersystem.event,RedirectEventListener,5,24,0,0,2,6,0,3,0,3
url-shortener-system,com.xyz.urlshortenersystem.dto,ShortenUrlRequestDto,135,20,30,0,0,4,20,6,5,6
url-shortener-system,com.xyz.urlshortenersystem.dto,SignUpRequestDto,164,31,38,0,0,5,23,9,4,9
url-shortener-system,com.xyz.urlshortenersystem.dto,UserUrlStatsDto,131,24,30,0,0,4,19,7,4,7
url-shortener-system,com.xyz.urlshortenersystem.dto,SignInRequestDto,98,17,22,0,0,3,15,5,4,5
url-shortener-system,com.xyz.urlshortenersystem.dto,UserTokenDto,115,0,22,0,3,0,20,0,9,0
url-shortener-system,com.xyz.urlshortenersystem.dto,UserAccountDto,197,38,46,0,0,6,27,11,4,11
url-shortener-system,com.xyz.urlshortenersystem.dto,UserUrlDto,197,38,46,0,0,6,27,11,4,11
url-shortener-system,com.xyz.urlshortenersystem.controller,AuthenticationController,0,30,0,0,0,4,0,4,0,4
url-shortener-system,com.xyz.urlshortenersystem.controller,RedirectController,0,16,0,0,0,3,0,2,0,2
url-shortener-system,com.xyz.urlshortenersystem.controller,UserUrlController.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
url-shortener-system,com.xyz.urlshortenersystem.controller,UserUrlController.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
url-shortener-system,com.xyz.urlshortenersystem.controller,UserUrlController,0,52,0,0,0,9,0,5,0,5
url-shortener-system,com.xyz.urlshortenersystem.enumeration,RoleName,0,15,0,0,0,2,0,1,0,1
